,input_text,target_text
28,"LU Factuality: He also said that his visit will mainly focus on the humanitarian situation of Iraq, which has been under crippling U.N. sanctions since its 1990 invasion of Kuwait, the primacord of the 1991 Gulf War.","(said, true); (visit, true); (been under, true); (U.N. sanctions, true); (primacord, true); (invasion, true); (focus on, false)"
29,"LU Factuality: ""The visit is not a political visit, it is a visit of humanitarian concerns,"" he added.","(added, true); (political visit, false); (visit, false); (is not, false); (visit of humanitarian concerns, false); (is, false)"
30,"LU Factuality: ""There are a lot of issues I want to take a look at, but the issue of humanitarian concerns is number one,"" he said.","(said, true); (lot of issues, false); (are, false); (issue of humanitarian concerns, false); (look at, false); (want, false); (is, false); (number one, false); (to take, unknown)"
31,"LU Factuality: During his stay in Iraq, he will visit several places, including hospitals and schools, in Baghdad and southern Iraq, where the U.S. and Britain imposed a no-fly zone, with the claimed aim of protecting Shi'ite Muslims from possible attacks by Iraqi government.","(including, true); (stay, true); (no-fly zone, true); (imposed, true); (protecting, false); (attacks, false); (claimed, false); (aim, false); (visit, false)"
32,"LU Factuality: Bombing targets in the no-fly zones in southern and northern Iraq by U.S. and British warplanes have almost become a daily occurrence, causing serious civilian casualties.","(no-fly zones, true); (Bombing, true); (become, true); (warplanes, true); (causing, true); (daily occurrence, true); (civilian casualties, true)"
33,"LU Factuality: When asked by Xinhua if there is any plan for him to meet Iraq officials, he said ""I have not been asked to meet any top Iraqi officials.","(asked, true); (said, true); (is, false); (plan, false); (to meet, false); (not been asked, false); (to meet, false)"
34,"LU Factuality: My concern is with the Red Cross, the (Iraqi) Red Crescent, to see what they have to show me, to see with my own eyes and make up my own mind.""","(have, false); (concern, false); (make up, unknown); (to show, unknown); (to see, unknown)"
35,"LU Factuality: However, it has been reported that Hall is expected to meet Iraqi Health Minister Umid Medhat Mubarak and representatives of all international aid organizations working in Iraq.","(is expected, true); (working, true); (been reported, true); (to meet, false)"
36,"LU Factuality: Iraq has claimed that more than 1.5 million people, mostly children and the elderly, have died of curable diseases due to the decade-long U.N. sanctions.","(claimed, true); (died, false); (diseases, false); (U.N. sanctions, false)"
37,"LU Factuality: Iraq has accused the U.S., which vehemently opposes the lifting of the sanctions against Iraq, of using the sanctions as a tool to contain the Iraqi regime headed by President Saddam Hussein.","(opposes, true); (sanctions, true); (accused, true); (headed by, true); (using, false); (sanctions, true); (to contain, unknown)"
38,"LU Factuality: Earlier this year, some 70 U.S. congressmen sent a letter to U.S. President Bill Clinton, calling for an end to the humanitarian crisis in Iraq by having the sanctions lifted.","(letter, true); (calling, true); (sent, true); (having, true); (end, true); (humanitarian crisis, true); (lifted, false); (sanctions, true)"
39,LU Factuality: Lawmaker Appeals for Innocent Iraqis,"(Appeals, true)"
40,LU Factuality: A U.S. lawmaker assessing the impact of U.N. sanctions on Iraq said Wednesday it is important not only to force Baghdad to give up its weapons of mass destruction but also to do more to ease the hardships on ordinary Iraqis.,"(assessing, true); (impact, true); (U.N. sanctions, true); (said, true); (to give up, false); (is important, false); (to ease, false); (weapons of mass destruction, false); (hardships, false); (to do, false); (to force, false)"
41,"LU Factuality: Rep. Tony Hall, D-Ohio, did not call for a lifting of sanctions imposed on Iraq for its 1990 invasion of Kuwait, but said the United Nations should make sure that sanctions do not hurt innocent Iraqis.","(not call, true); (lifting, true); (sanctions, true); (imposed, true); (invasion, true); (said, true); (should, false); (sanctions, true); (not hurt, false)"
42,"LU Factuality: ""It was very, very important"" to compel Iraq to rid itself of weapons of mass destruction so that ""it cannot use or export them to other countries,"" he told Associated Press Television News.","(told, true); (very important, false); (was, false); (to rid, false); (to compel, false); (cannot, false); (weapons of mass destruction, false)"
43,LU Factuality: But he insisted the international community can do a much better job in helping Iraq deal with its economic and health problems.,"(insisted, true); (better job, false); (economic, false); (health problems, false); (do, false); (deal, false); (helping, false)"
44,"LU Factuality: One way would be to speed up the flow of health supplies and other urgent commodities to the country under a U.N. humanitarian program, he said.","(said, true); (would, false); (commodities, false); (U.N. humanitarian program, false); (health supplies, false); (be, unknown); (flow, false); (to speed up, false)"
45,"LU Factuality: Iraq says the United States and Britain hold up delivery of needed supplies, using their clout in the United Nations.","(says, true); (supplies, false); (using, false); (hold up, false); (delivery, false); (clout, false)"
46,LU Factuality: The U.S. government says it wants to ensure that Iraq is not buying items that appear to be humanitarian in nature but that could be used for making weapons.,"(says, true); (appear, false); (not buying, false); (wants, false); (to ensure, unknown); (could, false); (be used for, unknown); (to be humanitarian, unknown); (making, false)"
47,"LU Factuality: XIE20000420.0165
2000-04-20 
U.S. Congressman Concludes Landmark Visit to Iraq BAGHDAD, April 20 (Xinhua) –","(Concludes, true); (Visit, true)"
48,"LU Factuality: U.S. Democratic Party Congressman Tony Hall left here Thursday after concluding his landmark visit to Iraq, which has been under sweeping U.N. sanctions since 1990.","(left, true); (concluding, true); (visit, true); (U.N. sanctions, true); (has been under, true)"
49,"LU Factuality: In a statement, Hall expressed regret over the negative impacts of the decade-old sanctions on Iraqi people.","(statement, true); (expressed, true); (regret, true); (negative impacts, true); (sanctions, true)"
50,"LU Factuality: During his four-day stay, Hall visited hospitals and health institutions in Baghdad and the southern Muthana Province.","(visited, true)"
51,"LU Factuality: The U.S. lawmaker got acquainted with the sufferings of the Iraqi children because of acute shortage of food and medicine as a direct result of the embargo, reported the Iraqi News Agency (INA).","(reported, true); (sufferings, false); (got acquainted with, false); (result of, false); (shortage, false); (embargo, false)"
52,"LU Factuality: He also witnessed cases of malnutrition and poliomyelitis that have doubled since 1990, when U.N. imposed the sanctions against Iraq for its invasion of Kuwait, said the INA.","(said, true); (witnessed, false); (doubled, false); (imposed, true); (malnutrition, false); (poliomyelitis, false); (sanctions, true); (invasion, true)"
53,LU Factuality: Hall said on Monday that he regretted the miserable humanitarian situation in Iraq while visiting a hospital in the Mansour district of the Iraqi capital.,"(said, true); (regretted, false); (humanitarian situation, false); (visiting, true)"
54,"LU Factuality: Iraq has claimed that over 1.2 million people, mostly children and the elderly, have died during the last 10 years, and blames the deaths on shortages of food, medicine and other essential supplies.","(claimed, true); (blames, false); (deaths, false); (died, false); (shortages, false)"
55,"LU Factuality: Iraq has been accusing the U.S. and Britain of deliberately impeding the implementation of the U.N. oil-for-food deal which allows Baghdad to sell oil under U.N. supervision, thus worsening the humanitarian crisis in Iraq.","(accusing, true); (to sell, true); (allows, true); (worsening, false); (humanitarian crisis, false); (impeding, false); (U.N. oil-for-food deal, false); (implementation, false)"
56,"LU Factuality: Hall's landmark visit to Iraq started on Sunday evening when he arrived here by land from Amman, Jordan.","(arrived, true); (visit, true)"
57,"LU Factuality: Upon arrival, Hall said that his visit, the first of its kind by an American congressman since the 1991 Gulf War, was not political but humanitarian.","(said, true); (arrival, true); (visit, true); (humanitarian, false); (was not political, false)"
58,"LU Factuality: ""There are a lot of issues I want to look at, but the issue of humanitarian concerns is number one,"" he said.","(said, true); (lot of issues, false); (are, false); (number one, false); (is, false); (issue of humanitarian concerns, false); (want, false); (to look at, unknown)"
59,"LU Factuality: IRAQ-POVERTY (Washington)

Rep. Tony Hall, D-Ohio, urges the United Nations to allow a freer flow of food and medicine into Iraq.","(urges, true); (to allow, unknown); (flow, unknown)"
60,"LU Factuality: Hall, who recently returned from a trip to Iraq, said U.N. economic sanctions have hurt millions of civilians there.","(returned, true); (said, true); (economic sanctions, false); (hurt, false)"
61,"LU Factuality: 
Iraq Lodges Protest with United Nations Concerning British and American Raids","(Lodges, true); (Protest, true); (Raids, true)"
62,"LU Factuality: Iraq protested strongly to the United Nations against American and British air raids which targeted civilian installations in southern Iraq , killing two people and injuring 23 others according to a report by the official Iraqi news agency today , Tuesday . ","(protested, true); (according to, true); (report, true); (air raids, false); (killing, false); (targeted, false); (injuring, false)"
63,"LU Factuality: According to Baghdad , two civilians were killed and 23 others injured during two attacks by American and British planes on Friday and Saturday against civilian installations in the town of Samawa in southern Iraq . ","(According to, true); (were killed, false); (attacks, false); (injured, false)"
64,"LU Factuality: Al-Sahaf added : "" These two regimes are directly involved in the attack against Iraq through their support of air raids by American and British planes and by allowing these planes to fly from air bases in Saudi Arabia and Kuwait . "" ","(added, true); (attack, false); (involved in, false); (air raids, false); (support of, false); (allowing, false); (to fly, false)"
65,"LU Factuality: Aziz said : "" The continuous falsehoods spread by Kuwait 's rulers are aimed at manufacturing an artificial crisis to give the Americans and British a pretext to continue their attacks on Iraq and keep the sanctions against its people in place . "" ","(said, true); (spread, false); (aimed at, false); (pretext, false); (attacks, false); (manufacturing, false); (artificial crisis, false); (sanctions, true); (to give, unknown); (to continue, unknown); (keep, unknown)"
66,"LU Factuality: Since late 1998 , almost daily skirmishes have taken place between Iraq and American and British planes patrolling the no - fly zones in northern and southern Iraq . ","(skirmishes, true); (taken place, true); (patrolling, true); (no - fly zones, true)"
67,LU Factuality: Baghdad does not recognize these no - fly zones for which no international resolution has been passed . ,"(not recognize, true); (no - fly zones, true); (been passed, true)"
68,"LU Factuality: According to a count prepared by Agence France Press , based on official Iraqi statements , American and British raids inside Iraq have resulted in 302 deaths and 900 injuries since 1998 . ","(count, true); (According to, true); (based on, true); (prepared by, true); (official Iraqi statements, true); (raids, false); (resulted in, false); (302 deaths, false); (900 injuries, false)"
69,"LU Factuality: 
June 6, 2000
Name Address City, ST Zip
Dear Name: 

Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).","(asked, true); (to send, unknown); (inviting, unknown); (to join, unknown)"
70,"LU Factuality: The SCS brochure I am enclosing will give you the historic significance of SCS, as well as listing activities and specific benefits awarded to donors at the Georgia O'Keeffe level.","(enclosing, true); (listing, true); (activities, true); (benefits, true); (awarded, true); (give, false)"
71,"LU Factuality: Your Georgia O'Keeffe membership, please note, includes free admission to all art-related activities of the IMA's Young Friends of Art group.","(includes, true); (admission, true); (note, unknown); (membership, unknown)"
72,"LU Factuality: Additionally, I am sending traditional background materials on the Museum and the two latest issues of our Previews Magazine detailing upcoming events, exhibitions, and educational programs.","(sending, true); (detailing, true); (educational programs, true); (exhibitions, true); (events, true)"
73,"LU Factuality: These are particularly exciting times at the Indianapolis Museum of Art: Progress continues on the J.K. Lilly estate-Oldfields, our Ravine Garden has been restored to its original splendor, and there is national attention showered on our current exhibition of Japanese Painting.","(are, true); (exciting times, true); (continues, true); (been restored, true); (is, true); (national attention, true); (exhibition, true); (showered, true)"
74,LU Factuality: (please see The New York Times article I have included.),"(included, true); (see, true)"
75,"LU Factuality: With thousands of trees and flowers in bloom, we are having a beautiful Spring! Our extraordinary permanent collection, facility, and grounds, we understand full well, would not be possible without the philanthropic support of civic-minded men and women.","(having, true); (bloom, true); (collection, true); (Spring, true); (grounds, true); (facility, true); (would not, true); (understand, true); (philanthropic support, true); (be, unknown); (possible, unknown)"
76,"LU Factuality: In joining SCS, you join the ranks of those who believe that bringing art and art education to the city makes life better, richer, and more rewarding for the entire community.","(join, true); (art, true); (bringing, true); (better, true); (richer, true); (art education, true); (makes, true); (more rewarding, true); (joining, unknown)"
77,LU Factuality: A Second Century Society response card and return envelope are enclosed.,"(enclosed, true)"
78,"LU Factuality: Should you have questions or if I can be of assistance in any way, please call me: 317.923.1331, ext. 248.","(call, true); (be of assistance, false); (have, unknown); (Should, true)"
79,"LU Factuality: P.S.  Both our Barefoot in the Grass family picnic (July 23,2000) and the annual SCS Founders Day celebration (October 11,2000) are free for Georgia O'Keeffe members.","(are, true); (free, true)"
80,LU Factuality: Mark your calendars!,"(Mark, true)"
81,"LU Factuality: <DOC docid=""artb_004"" sysid=""ahd"">
<hl>
<seg id=1> 
Inauguration of free zone in Dubai for e-commerce ","(Inauguration, true)"
82,"LU Factuality: Dubai 10-28 (FP) - Dubai's Crown Prince Sheikh Mohamed Bin Rashid Al Maktoum inaugurated a free zone for e-commerce today, called Dubai Internet City.","(inaugurated, true)"
83,"LU Factuality: The preliminary stages of the project, the only one of its kind according to its designers, are estimated at $200 million.","(project, true); (according to, true); (estimated at, true)"
84,"LU Factuality: Sheikh Mohamed, who is also the Defense Minister of the United Arab Emirates, announced at the inauguration ceremony that ""we want to make Dubai a new trading center.""","(is, true); (Defense Minister of the United Arab Emirates, true); (announced, true); (inauguration ceremony, true); (want, false); (to make, unknown)"
85,"LU Factuality: The minister, who has his own website, also said: ""I want Dubai to be the best place in the world for state-of-the-art technology companies.""","(has, true); (own website, true); (said, true); (want, false); (to be the best place, unknown)"
86,"LU Factuality: He said companies engaged in e-commerce would be able to set up offices, employ staff and own equipment in the open zone, including fully-owned foreign companies.","(said, true); (would, false); (including, false); (engaged in, false); (to set up, false); (be able, unknown); (own, false); (employ, false)"
87,"LU Factuality: The e-commerce free zone is situated in north Dubai, near the industrial free zone in Jebel Ali, the top regional and tenth international leading area in container transit.","(situated in, true)"
88,"LU Factuality: The inauguration of Dubai Internet City coincides with the opening of an annual IT show in Dubai, the Gulf Information Technology Exhibition (Gitex), the biggest in the Middle East.","(inauguration, true); (coincides, true); (annual IT show, true); (opening, true)"
89,"LU Factuality: <DOC docid=""artb_004"" sysid=""ahg"">
<hl>
<seg id=1>
Launching the Electronics Free Trade Zone in Dubai","(Launching, true)"
90,"LU Factuality: Dubai 01-82 (AFP) - Crown Prince of Dubai Al Sheikh Mohammed bin Rashid Al Maktoom crown prince of Dubai launched today, i.e. on Saturday, an electronics free e-trade zone which has been named ""Dubai Internet City""","(launched, true); (named, true)"
91,LU Factuality: The cost in the first stage of this unique project is estimated at 200 million dollars.,"(cost, true); (project, true); (estimated at, true)"
92,"LU Factuality: Sheikh Mohammed, who is also the UAE Defence Minister, said during the launching ceremony ""we wish to make Dubai a center of modern economy"".","(said, true); (is, true); (UAE Defence Minister, true); (launching ceremony, true); (center, false); (wish, false); (to make, unknown)"
93,"LU Factuality: The minister who has a personal website on the internet, further said that he wanted Dubai to become the best place in the world for the advanced (hitech) technological companies.","(has, true); (personal website, true); (said, true); (best place in the world, false); (wanted, false); (to become, unknown)"
94,"LU Factuality: He said that it would be possible for the companies working in the electronic trade sector to make Dubai their headquarters, and to establish offices here and provide employment and own machinery in the zone opened to companies fully owned by the foreigners.","(said, true); (opened, false); (would, false); (zone, false); (owned by, false); (be possible, unknown); (working, false); (to make, false); (to establish offices, false); (provide employment, false); (own machinery, false)"
95,"LU Factuality: The electronic trade free trade zone is situated in the north of Dubai, close to the free industrial zone in Jabal Ali Mountain, an area which is considered to be the first in the country, and tenth in the world for transit movement.","(situated in, true); (considered, true); (first in the country, true); (tenth in the world, true); (to be, false)"
96,LU Factuality: Launching 'Dubai Internet city ' coincided with the opening of the annual information fair in Dubai which is considered to be the biggest in the Middle East - Gulf Information Technology Getix.',"(Launching, true); (opening, true); (coincided, true); (considered, true); (annual information fair, true); (to be, false); (biggest in the Middle East, true)"
97,LU Factuality: Thoughts about Security of Principal Squads,"(Thoughts, true); (Security, true)"
98,LU Factuality: Praise Allah who said provide those who believed with security and peace be upon our prophet.,"(said, true); (Praise Allah, unknown); (provide, false); (believed, false); (security, false); (peace be upon our prophet, unknown)"
99,LU Factuality: The enemy confronting our society falls in three categories:,"(falls, true); (confronting, true)"
100,"LU Factuality: Hostile intelligence organizations, such as the United States, Saudi Arabia, Egypt, Pakistan and the Jews.","(organizations, true)"
101,LU Factuality: The straying group who are atheists and apostates.,"(are atheists, true); (apostates, true)"
102,LU Factuality: The existing environment.,"(environment, true)"
103,"LU Factuality: They include the deposed regime, the tribal cliques, the hired fighters, and the standard criminals.","(regime, true); (include, true); (fighters, true); (cliques, true); (criminals, true)"
104,LU Factuality: The above groups pose the following dangers:,"(dangers, true); (pose, true)"
105,LU Factuality: Attacking for the purpose of:,"(Attacking, true)"
106,LU Factuality: Assassination,"(Assassination, true)"
107,LU Factuality: Kidnapping,"(Kidnapping, true); (Kidnapping, true)"
108,LU Factuality: Aerial raids and artillery attacks,"(artillery attacks, true); (Aerial raids, true)"
109,LU Factuality: Sabotage,"(Sabotage, true)"
110,LU Factuality: Setting fires,"(Setting, true)"
111,LU Factuality: Explosions,"(Explosions, true)"
112,LU Factuality: Technical sabotage,"(Technical sabotage, true)"
113,LU Factuality: Chemical sabotage,"(Chemical sabotage, true)"
114,LU Factuality: Spying,"(Spying, true)"
115,LU Factuality: Recruiting a member of society,"(Recruiting, true)"
116,LU Factuality: Planting a mole within society,"(Planting, true)"
117,LU Factuality: Spying surveillance operation,"(Spying, true); (surveillance operation, true)"
118,LU Factuality: Stealing,"(Stealing, true)"
119,LU Factuality: Pests:,"(Pests, true)"
120,LU Factuality: Poisonous such as snakes and scorpions,"(snakes and scorpions, true)"
121,LU Factuality: Harmful such as rats and cockroaches,"(rats and cockroaches, true)"
122,LU Factuality: Sickening such as mosquitoes,"(mosquitoes, true)"
123,"LU Factuality: In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.","(dangers, true); (resort, true); (plan, true); (spying, true); (internal factors, true); (external factors, true); (includes, true); (to face, unknown)"
124,LU Factuality: All actions and methods adopted to confront dangers from outside.,"(dangers, true); (adopted, true); (methods, true); (actions, true); (to confront, unknown)"
125,LU Factuality: All actions and methods adopted to confront dangers from within.,"(dangers, true); (adopted, true); (methods, true); (actions, true); (to confront, unknown)"
126,LU Factuality: Spying: ,"(Spying, true)"
127,LU Factuality: Confronting infiltration operations carried out by spying agents or moles.,"(carried out, true); (infiltration operations, true); (Confronting, true)"
128,LU Factuality: External Security,"(External Security, true)"
129,LU Factuality: Choosing the Location,"(Choosing, true)"
130,"LU Factuality: Choosing mountainous locations, preferably 1-3 hours from main cities, which have water resources.","(Choosing, true); (have water, true)"
131,LU Factuality: Being close to cities is important in order to have important services.,"(is important, true); (Being, true); (to have important services, unknown)"
132,"LU Factuality: If a mountainous location is unviable, then choose a location next to official Buidings so as to avoid being bombarded.","(choose, true); (is unviable, true); (to avoid, unknown); (being bombarded, false)"
133,"LU Factuality: Again, if the above is not possible, then choose a location next to residential areas, for the same reason as above.","(choose, true); (reason, true); (is not possible, true)"
134,LU Factuality: The location should be away from airports and main highways.,"(should, true); (be away from airports and main highways, unknown)"
135,LU Factuality: It is preferable it has its own private access in order to protect it and control it better.,"(has its own private access, true); (is preferable, true); (control, unknown); (to protect, unknown)"
136,LU Factuality: Protection Methods,"(Protection, true)"
137,LU Factuality: Outside Protection:,"(Outside Protection, true)"
138,LU Factuality: Human protection,"(Human protection, true); (Human protection, true)"
139,LU Factuality: - Patrols close to locations,"(Patrols, true)"
140,LU Factuality: - Patrols distant from the location.,"(Patrols, true)"
141,LU Factuality: Animal protection: ,"(Animal protection, true)"
142,LU Factuality: Electronic protection: ,"(Electronic protection, true)"
143,LU Factuality: Permanent Protection:,"(Permanent Protection, true)"
144,LU Factuality: They are erected according to the nature of the location.,"(according to, true); (erected, true)"
145,LU Factuality: They can take one of the following forms:,"(take, true)"
146,LU Factuality: Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,"(fill, true); (Insert, true)"
147,"LU Factuality: They are filled with cement and place around the building, especially at the entrance to prevent cars from crashing into it.","(place, true); (filled with, true); (crashing, true); (to prevent, unknown)"
148,LU Factuality: They are better than road bumps because they are harder to see.,"(are better, true); (are harder, true); (to see, true)"
149,LU Factuality: The ditch should be 30 centimeters deep and 20 centimeters wide.,"(should, true); (be 30 centimeters deep and 20 centimeters wide, unknown)"
150,LU Factuality: Passage ways for cars and pedestrians should be designated.,"(should, true); (Passage, true); (be designated, unknown)"
151,LU Factuality: Road bumps: Six successive bumps should be constructed at 500 meters from the location.,"(should, true); (be constructed, unknown)"
152,"LU Factuality: The distance between the first and fourth bump should be 100 meters, and the distance between the fourth and the sixth should be 50 meters, so cars cannot travel fast in the direction of the building.","(travel, true); (should, true); (should, true); (be 50 meters, unknown); (be 100 meters, unknown)"
153,"LU Factuality: Barbed Wires: They should be placed around the building, around the walls, or on top of the walls.","(should, true); (be placed, unknown)"
154,LU Factuality: These are placed at the main gate in order to puncture the tires of any car crashing in.,"(placed, true); (crashing, true); (to puncture, unknown)"
155,LU Factuality: Fences are the best form of permanent protection.,"(are the best, true); (protection, true)"
156,LU Factuality: It shields off all activities which take place inside the location.,"(shields off, true); (activities, true); (take place, true)"
157,LU Factuality: The following should be considered when erecting fences:,"(erecting, true); (should, true); (be considered, unknown)"
158,"LU Factuality: The fence which is built out of bricks or concrete should be 4 meters high, then topped with one meter high barbed wire fence.","(topped with, true); (should, true); (built, true); (be 4 meters high, unknown)"
159,LU Factuality: It is preferable that the barbed wires slant outwards at a 70 degrees angle.,"(slant, true); (is preferable, true)"
160,LU Factuality: The thickness of the fence should be 60 cm and the distance between it and the building should be 2 meters.,"(should, true); (should, true); (be 60 cm, unknown); (be 2 meters, unknown)"
161,LU Factuality: Secret gates should be built 50 meters apart to be used for emergency only.,"(to be used, true); (should, true); (be built, unknown)"
162,"LU Factuality: However, they should not be identifiable from the outside part of the fence.","(should not, true); (be identifiable, unknown)"
163,LU Factuality: It is preferable that any location has only 2 emergency gates and far away from one another.,"(has only 2 emergency gates, true); (is preferable, true)"
164,LU Factuality: No other outside gates should be erected.,"(should, true); (be erected, unknown)"
165,"LU Factuality: If it is necessary to have an outside entrance for the control tower, then access to the location should not be constructed.","(should not, true); (to have an outside entrance, true); (access, true); (be constructed, unknown); (is necessary, false)"
166,"LU Factuality: If the location is in a highly dangerous zone, then two parallel fences should be built to be 3 meters apart.","(to be 3 meters apart, true); (should, true); (be built, unknown); (is in a highly dangerous zone, false)"
167,LU Factuality: The space between the two fences could be mined in order to prevent infiltration.,"(could, true); (be mined, unknown); (to prevent, unknown)"
168,LU Factuality: It is preferable the fence be square or rectangular in shape.,"(is preferable, true); (be square or rectangular, true)"
169,LU Factuality: A circular shaped fence is harder to protect because of hidden angles.,"(is harder, true); (to protect, true)"
170,LU Factuality: Parking areas are of importance because most sabotage operations are done with cars.,"(done, true); (are of importance, true); (operations, true)"
171,"LU Factuality: Therefore, it is important to adopt following:","(to adopt, true); (is important, true)"
172,LU Factuality: The parking lot should be 50 meters away from the fence.,"(should, true); (be 50 meters away from the fence, unknown)"
173,"LU Factuality: If the nature of the terrain does not allow it, then it should be on the other side of the road.","(should, true); (be on the other side of the road, unknown); (not allow, false)"
174,"LU Factuality: Under no circumstance a car, even that which belongs to the location should be permitted to park next to the fence.","(belongs to, true); (should, true); (no circumstance, true); (to park, true); (be permitted, unknown)"
175,LU Factuality: Assign a parking spot for visitors which would not make them feel insulted.,"(would not, true); (feel insulted, true); (Assign, true); (make, unknown)"
176,LU Factuality: Usually such parking spots are on the side of the lot.,"(are on the side of the lot, true)"
177,LU Factuality: Inside parking lot should be strictly designated to the location's cars in order to protect them from sabotage.,"(sabotage, true); (should, true); (to protect, unknown); (be strictly designated, unknown)"
